university_name,university_name_en,university_director_fio,university_director_post
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""","Higher Educational Institution ""Alfred Nobel University"", Dnipro, Ukraine",Холод Сергій Борисович,Ректор
"Вищий навчальний приватний заклад ""Дніпровський гуманітарний університет""","Higher Private Educational Institution ""Dnipro Humanitarian University""",Кириченко Олег Вікторович,Ректор
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","State Higher Educational Institution ""Donbas State Pedagogical University""",Омельченко Світлана Олександрівна,Ректор
"Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""","State Higher Educational Institution ""Prydniprovska State Academy of Civil Engineering and Architecture""",Савицький Микола Васильович,Ректор
"Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",Ukrainian State University of Chemical Technology,Сухий Костянтин Михайлович,Ректор
Дніпровський державний аграрно-економічний університет,DNIPRO STATE AGRARIAN and ECONOMIC UNIVERSITY,Кобець Анатолій Степанович,Ректор
Дніпровський національний університет імені Олеся Гончара,Oles Honchar Dnipro National University,Оковитий Сергій Іванович,Ректор
Дніпропетровський державний університет внутрішніх справ,Dnipropetrovsk State University of Internal Affairs,Фоменко Андрій Євгенович,Ректор
"КОМУНАЛЬНИЙ ЗАКЛАД ВИЩОЇ ОСВІТИ ""ДНІПРОВСЬКА АКАДЕМІЯ НЕПЕРЕРВНОЇ ОСВІТИ"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""","COMMUNAL INSTITUTION OF HIGHER EDUCATION ""DNIPRO ACADEMY OF CONTINUING EDUCATION"" OF DNIPROPETROVSK REGIONAL COUNCIL""",Сиченко Віктор Володимирович,Ректор
Луганський державний університет внутрішніх справ імені Е.О. Дідоренка,Luhansk State University of Internal Affairs named after E.O. Didorenko,Комарницький Віталій Мар`янович,Ректор
"Національний технічний університет ""Дніпровська політехніка""",Dnipro University of Technology,Азюковський Олександр Олександрович,Ректор
"Приватна установа ""Заклад вищої освіти ""Міжнародний гуманітарно-педагогічний інститут ""Бейт-Хана""",Private institution “Higher educational establishment “International humanitarian and pedagogic institute “Beit-Chana”,Аронова Ріма Семенівна,Ректор
"Приватний заклад вищої освіти ""Дніпровський інститут медицини та громадського здоров'я""","Privat establishment of higher education ""Dnipro institute of medicine and public health""",Лещева Тетяна Володимирівна,Ректор
"Приватний заклад вищої освіти ""ДНІПРОВСЬКИЙ ТЕХНОЛОГІЧНИЙ УНІВЕРСИТЕТ ""ШАГ""""","Private higher educational institution ""Dnipro Technological University ""STEP""""",Дубровський Сергій Станіславович,ректор
Придніпровська державна академія фізичної культури і спорту,Prydniprovsk state academy of physical culture and sport,Савченко Віктор Григорович,Ректор
Східноукраїнський національний університет імені Володимира Даля,Volodymyr Dahl East Ukrainian National University,Поркуян Ольга Вікторівна,Ректор
"Товариство з обмеженою відповідальністю ""Дніпровський медичний інститут традиційної і нетрадиційної медицини""","Limited Trade Department ""Dnipropetrovsk Medical Institute of Traditional and Non-traditional Medicine""",Абрамов Сергій Вікторович,Ректор
Університет митної справи та фінансів,University of Customs and Finance,Бочаров Дмитро Олександрович,Ректор
Донецький державний університет внутрішніх справ,Donetsk state university of internal affairs,Вітвіцький Сергій Сергійович,Ректор
Криворізький національний університет,Kryvyi Rih National University,Ступнік Микола Іванович,Ректор
